team_name,wins,losses,points_for,points_against,rebounds,assists,field_goal_percent,three_point_percent,turnovers,league_position,performance_tier
Team_14,67,15,126.3,123.2,46.7,28.3,51.0,38.6,18.6,1,Elite
Team_20,67,15,101.3,122.3,52.2,29.1,48.9,42.2,16.4,2,Elite
Team_57,67,15,113.8,106.1,43.1,27.5,42.4,42.1,14.9,3,Elite
Team_2,66,16,103.4,100.8,44.8,29.2,51.8,36.4,11.8,4,Elite
Team_42,66,16,124.2,124.1,48.3,28.8,48.0,31.5,11.7,5,Elite
Team_40,65,17,110.0,109.1,51.5,28.3,43.7,40.6,16.6,6,Elite
Team_45,65,17,101.8,107.5,51.7,27.7,45.1,41.4,14.0,7,Elite
Team_54,64,18,121.3,103.6,48.5,31.5,42.2,34.8,14.4,8,Elite
Team_33,63,19,105.6,105.6,51.7,26.2,42.9,30.2,17.1,9,Elite
Team_39,61,21,102.1,117.6,51.7,29.7,43.9,30.3,17.6,10,Elite
Team_23,58,24,107.6,122.4,41.5,32.5,47.8,38.4,17.3,11,Elite
Team_31,58,24,127.6,112.8,43.1,31.4,45.0,30.9,11.9,12,Elite
Team_41,58,24,103.2,124.3,50.1,23.1,44.8,33.7,11.7,13,Elite
Team_5,57,25,125.5,112.7,47.0,26.0,43.0,35.6,17.6,14,Elite
Team_35,56,26,122.8,108.4,48.2,25.5,52.6,38.9,11.8,15,Elite
Team_16,54,28,116.7,115.8,48.4,24.1,43.4,30.9,16.1,16,Contender
Team_1,53,29,112.3,102.7,49.5,31.3,50.8,31.3,17.0,17,Contender
Team_8,53,29,108.7,110.3,44.2,32.7,47.1,38.3,14.1,18,Contender
Team_49,53,29,117.9,112.6,48.6,29.7,48.7,32.3,17.0,19,Contender
Team_25,52,30,110.0,102.8,51.4,26.1,49.0,37.1,15.0,20,Contender
Team_44,51,31,109.3,112.4,42.1,23.5,49.3,38.2,14.0,21,Contender
Team_15,50,32,125.1,120.2,42.9,27.4,46.0,32.1,15.6,22,Contender
Team_28,47,35,103.9,120.5,50.6,26.7,47.7,42.5,14.5,23,Contender
Team_24,44,38,123.2,108.0,52.0,32.1,47.9,36.0,11.7,24,Contender
Team_3,43,39,113.9,115.9,48.2,28.3,45.7,36.2,18.2,25,Contender
Team_36,42,40,119.8,123.6,44.4,23.9,51.2,30.9,11.7,26,Contender
Team_60,42,40,100.7,105.9,48.4,29.7,47.2,39.8,11.5,27,Contender
Team_34,41,41,100.2,103.0,51.7,31.4,42.3,31.2,15.9,28,Contender
Team_56,40,42,121.6,124.6,49.3,27.6,42.5,34.4,11.9,29,Contender
Team_32,39,43,121.6,110.4,41.2,25.2,46.8,31.3,12.1,30,Contender
Team_52,39,43,103.3,122.7,47.1,30.9,45.9,42.9,17.2,31,Average
Team_13,38,44,121.7,104.0,40.2,27.5,42.4,41.1,18.6,32,Average
Team_17,38,44,125.8,121.8,42.3,29.9,47.7,38.4,14.6,33,Average
Team_22,38,44,110.9,120.2,44.4,32.3,42.6,35.0,17.3,34,Average
Team_10,37,45,115.3,105.7,40.5,31.8,45.2,34.9,18.2,35,Average
Team_19,36,46,105.5,104.7,45.0,22.3,44.4,37.6,13.6,36,Average
Team_30,36,46,102.1,100.2,46.9,32.6,50.7,32.5,13.8,37,Average
Team_7,35,47,118.6,106.2,50.9,24.7,42.4,38.0,18.2,38,Average
Team_27,35,47,115.2,110.7,48.6,32.2,52.7,35.0,15.4,39,Average
Team_47,35,47,109.1,100.9,40.1,30.1,50.1,40.4,18.6,40,Average
Team_59,34,48,112.0,119.0,49.7,29.1,49.7,35.6,14.7,41,Average
Team_9,33,49,114.6,118.9,42.4,26.3,48.0,30.6,11.1,42,Average
Team_50,32,50,124.8,101.3,40.1,26.0,46.6,39.8,14.0,43,Average
Team_37,30,52,120.4,108.1,44.5,28.1,49.7,34.1,16.6,44,Average
Team_4,29,53,101.0,107.9,48.2,23.0,46.1,32.3,15.0,45,Average
Team_38,29,53,121.6,113.0,49.4,32.3,46.5,41.0,11.6,46,Struggling
Team_53,28,54,120.0,106.0,49.0,30.9,50.3,35.4,15.5,47,Struggling
Team_29,26,56,122.5,121.5,47.2,32.6,45.6,41.8,18.1,48,Struggling
Team_11,25,57,105.2,101.9,47.7,28.9,48.5,38.1,11.7,49,Struggling
Team_12,25,57,127.1,107.2,48.8,30.7,42.3,36.5,13.6,50,Struggling
Team_48,23,59,120.4,115.2,41.3,29.7,48.1,33.7,18.9,51,Struggling
Team_55,23,59,115.7,112.2,42.9,32.0,43.3,40.1,18.3,52,Struggling
Team_6,22,60,107.2,122.7,41.2,24.9,48.4,35.2,13.6,53,Struggling
Team_46,21,61,108.7,107.1,47.9,31.7,52.5,39.6,17.5,54,Struggling
Team_51,18,64,113.2,107.0,42.1,25.2,44.7,40.5,11.7,55,Struggling
Team_18,17,65,102.5,120.1,49.0,25.1,50.5,30.3,13.3,56,Struggling
Team_43,17,65,117.5,106.3,41.1,32.9,49.9,39.1,18.9,57,Struggling
Team_21,16,66,109.1,113.5,41.8,23.9,42.9,37.5,17.0,58,Struggling
Team_26,16,66,107.9,105.7,43.4,22.2,50.0,42.2,11.5,59,Struggling
Team_58,16,66,114.6,116.8,44.2,30.8,51.4,41.2,11.1,60,Struggling
